Created on 05-14-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-05-22,ETHBTC,0.08314,0.084,0.08002,0.08042,110153.54,9084.77
2018-05-21,ETHBTC,0.08392,0.08439,0.08241,0.08314,84674.86,7072.65
2018-05-20,ETHBTC,0.08468,0.0859,0.08385,0.08392,85198.37,7241.66
2018-05-19,ETHBTC,0.08409,0.08574,0.08325,0.08468,84819.81,7166.68
2018-05-18,ETHBTC,0.08297,0.08435,0.0827,0.08409,100623.4,8429.7
2018-05-17,ETHBTC,0.0847,0.0854,0.0827,0.08297,89942.8,7596.94
2018-05-16,ETHBTC,0.08325,0.08473,0.08245,0.0847,102330.13,8582.82
2018-05-15,ETHBTC,0.084,0.08496,0.08241,0.08325,113443.43,9501.36
2018-05-14,ETHBTC,0.084,0.0848,0.0825,0.084,132571.9,11100.4
2018-05-13,ETHBTC,0.08077,0.08543,0.07999,0.084,126238.12,10450.1
2018-05-12,ETHBTC,0.08056,0.0812,0.07752,0.08077,131557.61,10448.8
2018-05-11,ETHBTC,0.0802,0.08225,0.0783,0.08056,162571.63,13009.32
2018-05-10,ETHBTC,0.08075,0.0821,0.08016,0.0802,141299.05,11489.85
2018-05-09,ETHBTC,0.08163,0.08176,0.07915,0.08075,139911.86,11249.42
2018-05-08,ETHBTC,0.0804,0.08214,0.07905,0.08163,145102.8,11721.11
2018-05-07,ETHBTC,0.0822,0.0827,0.07595,0.0804,185163.62,14628.71
2018-05-06,ETHBTC,0.08308,0.08467,0.08,0.0822,125195.24,10304.92
2018-05-05,ETHBTC,0.08086,0.08333,0.08068,0.08308,127863.83,10525.62
2018-05-04,ETHBTC,0.07996,0.08319,0.07906,0.08086,186570.26,15140.67
2018-05-03,ETHBTC,0.07446,0.081,0.07437,0.07996,231760.76,18193.43
2018-05-02,ETHBTC,0.0741,0.07522,0.07388,0.07446,125281.52,9332.93
2018-05-01,ETHBTC,0.07254,0.07463,0.07049,0.0741,140148.49,10238.88
2018-04-30,ETHBTC,0.07332,0.07512,0.07212,0.07254,152930.56,11240.53
2018-04-29,ETHBTC,0.07317,0.0736,0.0723,0.07332,137169.88,10029.79
2018-04-28,ETHBTC,0.07208,0.07387,0.07199,0.07317,122569.89,8973.95
2018-04-27,ETHBTC,0.07135,0.07356,0.07068,0.07208,127991.53,9243.44
2018-04-26,ETHBTC,0.06957,0.072,0.06885,0.07135,143393.56,10176.4
2018-04-25,ETHBTC,0.07288,0.07297,0.06669,0.06955,202955.73,14147.75
2018-04-24,ETHBTC,0.07205,0.07576,0.07165,0.07288,160173.98,11854.07
2018-04-23,ETHBTC,0.07065,0.07266,0.07054,0.07205,118995.65,8547.63
2018-04-22,ETHBTC,0.06791,0.07266,0.0658,0.07065,132587.54,9295.11
2018-04-21,ETHBTC,0.06966,0.06978,0.06533,0.06791,132471.97,9076.34
2018-04-20,ETHBTC,0.06867,0.07128,0.06749,0.06966,168581.86,11671.04
2018-04-19,ETHBTC,0.06443,0.06889,0.06394,0.06867,156802.53,10364.25
2018-04-18,ETHBTC,0.06368,0.06448,0.06326,0.06443,116161.96,7409.85
2018-04-17,ETHBTC,0.06353,0.0647,0.06287,0.06368,136848.75,8696.58
2018-04-16,ETHBTC,0.06389,0.06409,0.0629,0.06353,101524.27,6426.89
2018-04-15,ETHBTC,0.06285,0.06397,0.06226,0.06389,79798.38,5042.04
2018-04-14,ETHBTC,0.06264,0.06356,0.06164,0.06285,85682.87,5361.18
2018-04-13,ETHBTC,0.06239,0.06469,0.0618,0.06264,181506.69,11471.17
2018-04-12,ETHBTC,0.06192,0.06305,0.05929,0.06239,200055.51,12251.52
2018-04-11,ETHBTC,0.06073,0.0621,0.06024,0.06192,145649.79,8871.94
2018-04-10,ETHBTC,0.05887,0.0608,0.0584,0.06073,124912.05,7412.23
2018-04-09,ETHBTC,0.05709,0.06007,0.05699,0.05887,138342.64,8110.91
2018-04-08,ETHBTC,0.05581,0.05726,0.0555,0.05709,96021.05,5422.18
2018-04-07,ETHBTC,0.05592,0.0562,0.0551,0.05581,96068.2,5348.69
2018-04-06,ETHBTC,0.05631,0.05641,0.05535,0.05592,89682.81,5010.48
2018-04-05,ETHBTC,0.05566,0.05642,0.05538,0.05631,136670.67,7642.78
2018-04-04,ETHBTC,0.05603,0.05615,0.05367,0.05566,129955.68,7158.68
2018-04-03,ETHBTC,0.05455,0.05612,0.05381,0.05603,129906.36,7106.87
2018-04-02,ETHBTC,0.05555,0.0559,0.05429,0.05455,107781.92,5948.83
2018-04-01,ETHBTC,0.05686,0.05703,0.0551,0.05555,100287.85,5620.6
2018-03-31,ETHBTC,0.05742,0.05896,0.05639,0.05686,118168.99,6775.43
2018-03-30,ETHBTC,0.05406,0.05755,0.05406,0.05742,169934.39,9469.32
2018-03-29,ETHBTC,0.05613,0.05652,0.054,0.05406,176647.39,9695.85
2018-03-28,ETHBTC,0.05751,0.05796,0.056,0.05613,129465.3,7377.1
2018-03-27,ETHBTC,0.05972,0.06007,0.05656,0.05751,149512.64,8689.37
2018-03-26,ETHBTC,0.06189,0.06224,0.05924,0.05972,148909.8,9023.47
2018-03-25,ETHBTC,0.06095,0.06236,0.06053,0.06189,109733.6,6712.89
2018-03-24,ETHBTC,0.06103,0.0614,0.0601,0.06095,131983.48,7995.23
2018-03-23,ETHBTC,0.06195,0.063,0.06006,0.06103,145953.53,8953.02
2018-03-22,ETHBTC,0.06302,0.0637,0.061,0.06195,109482.76,6820.07
2018-03-21,ETHBTC,0.0626,0.06489,0.061,0.06302,131655.37,8347.71
2018-03-20,ETHBTC,0.06473,0.06493,0.06192,0.0626,122702.76,7744.94
2018-03-19,ETHBTC,0.06564,0.06673,0.0631,0.06473,126610.38,8184.32
2018-03-18,ETHBTC,0.06991,0.07,0.0618,0.06564,155791.04,10250.17
2018-03-17,ETHBTC,0.07248,0.07356,0.06966,0.06991,80153.84,5796.93
2018-03-16,ETHBTC,0.07387,0.07459,0.07174,0.07248,95945.33,7032.69
2018-03-15,ETHBTC,0.07449,0.07548,0.073,0.07387,107963.57,8010.49
2018-03-14,ETHBTC,0.07536,0.07642,0.07336,0.07449,98573.86,7408.56
2018-03-13,ETHBTC,0.07645,0.07719,0.07485,0.07536,91478.99,6945.71
2018-03-12,ETHBTC,0.07575,0.07697,0.07432,0.07645,73641.64,5573.43
2018-03-11,ETHBTC,0.0776,0.07956,0.07489,0.07575,61225.22,4736.7
2018-03-10,ETHBTC,0.07848,0.07976,0.0772,0.0776,59635.15,4674.25
2018-03-09,ETHBTC,0.07501,0.07886,0.0745,0.07848,110720.64,8499.55
2018-03-08,ETHBTC,0.0757,0.0771,0.0745,0.075,95671.9,7271.68
2018-03-07,ETHBTC,0.07599,0.07648,0.073,0.0757,111286.07,8332.62
2018-03-06,ETHBTC,0.07387,0.077,0.07382,0.07599,86017.59,6497.22
2018-03-05,ETHBTC,0.07528,0.07565,0.07253,0.07387,79967.11,5976.75
2018-03-04,ETHBTC,0.07473,0.07757,0.0746,0.07528,70375.24,5342.44
2018-03-03,ETHBTC,0.07751,0.07782,0.0745,0.07473,92225.24,6994.17
2018-03-02,ETHBTC,0.07972,0.07997,0.07612,0.07751,92807.4,7293.48
2018-03-01,ETHBTC,0.0826,0.083,0.0793,0.07972,94160.29,7653.27
